id,alias,name,url,review_count,categories,rating,transactions,price,phone,latitude,longitude,display_address,address1,address2,address3,city,zip_code,state,country
wusuW7VDDWEGKfOBbm2k_g,xing-fu-tang-flushing,Xing Fu Tang,https://www.yelp.com/biz/xing-fu-tang-flushing?adjust_creative=SxGxfJGy9pXRgCNHTRDeBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SxGxfJGy9pXRgCNHTRDeBA,186,Bubble Tea/Desserts/Taiwanese,4.0,delivery/pickup,$,+16462062848,40.75816,-73.82982,"40-52 Main St Flushing, NY 11345",40-52 Main St,,,Flushing,11345,NY,US
nndSS7va9wFlBYzA3zv1nw,ojbk-tea-shop-brooklyn-2,OJBK Tea Shop,https://www.yelp.com/biz/ojbk-tea-shop-brooklyn-2?adjust_creative=SxGxfJGy9pXRgCNHTRDeBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SxGxfJGy9pXRgCNHTRDeBA,8,Bubble Tea,4.5,delivery/pickup,$,+17185763047,40.69395,-73.96369,"525 Myrtle Ave Brooklyn, NY 11205",525 Myrtle Ave,,,Brooklyn,11205,NY,US
1gXKzs-1EPxJ7gkHW6SDyg,chun-yang-tea-flushing-new-york-flushing,Chun Yang Tea - Flushing New York,https://www.yelp.com/biz/chun-yang-tea-flushing-new-york-flushing?adjust_creative=SxGxfJGy9pXRgCNHTRDeBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SxGxfJGy9pXRgCNHTRDeBA,119,Bubble Tea,4.5,delivery/pickup,,+13477329680,40.758001,-73.8299476772982,"133-41 41st Ave Flushing, NY 11355",133-41 41st Ave,,,Flushing,11355,NY,US
DbhBca8LzskjS0B-L4QfZg,tiger-sugar-new-york,Tiger Sugar,https://www.yelp.com/biz/tiger-sugar-new-york?adjust_creative=SxGxfJGy9pXRgCNHTRDeBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SxGxfJGy9pXRgCNHTRDeBA,346,Bubble Tea/Coffee & Tea/Desserts,4.0,delivery/pickup,$,+16465906299,40.717151,-73.998231,"197 Canal St New York, NY 10013",197 Canal St,,,New York,10013,NY,US
Cml6xpr5GNhC_xI6iinHFw,dragon-horn-tea-new-york,Dragon Horn Tea,https://www.yelp.com/biz/dragon-horn-tea-new-york?adjust_creative=SxGxfJGy9pXRgCNHTRDeBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SxGxfJGy9pXRgCNHTRDeBA,39,Bubble Tea/Coffee & Tea,4.5,delivery/pickup,,+16464787787,40.70853,-74.013628,"106 Greenwich St New York, NY 10006",106 Greenwich St,,,New York,10006,NY,US
g-K9RFraEyOoY3IgszBCeQ,teazzi-tea-shop-new-york,Teazzi Tea Shop,https://www.yelp.com/biz/teazzi-tea-shop-new-york?adjust_creative=SxGxfJGy9pXRgCNHTRDeBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SxGxfJGy9pXRgCNHTRDeBA,115,Bubble Tea/Tea Rooms/Juice Bars & Smoothies,4.0,delivery/pickup,,+19172681999,40.7371,-73.99582,"47 W 14th St Ste 3 New York, NY 10011",47 W 14th St,Ste 3,,New York,10011,NY,US
7-bx74TooPuZKZDNW4WFcQ,chun-yang-tea-chinatown-new-york,Chun Yang Tea Chinatown,https://www.yelp.com/biz/chun-yang-tea-chinatown-new-york?adjust_creative=SxGxfJGy9pXRgCNHTRDeBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SxGxfJGy9pXRgCNHTRDeBA,33,Bubble Tea,4.5,delivery/pickup,,+12124200123,40.71617,-73.9971,"26B Elizabeth St New York, NY 10013",26B Elizabeth St,,,New York,10013,NY,US
zupVwJAFYkHDwrsQd2ktXA,koi-thé-new-york-4,KOI Thé,https://www.yelp.com/biz/koi-th%C3%A9-new-york-4?adjust_creative=SxGxfJGy9pXRgCNHTRDeBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SxGxfJGy9pXRgCNHTRDeBA,11,Bubble Tea,4.5,delivery/pickup,,+16467670085,40.7357,-73.98936,"32 Union Square E New York, NY 10003",32 Union Square E,,,New York,10003,NY,US
bvuPipiMPe5FURKZh06Zxg,tea-and-milk-astoria,Tea and Milk,https://www.yelp.com/biz/tea-and-milk-astoria?adjust_creative=SxGxfJGy9pXRgCNHTRDeBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SxGxfJGy9pXRgCNHTRDeBA,411,Coffee & Tea/Bubble Tea/Cafes,4.5,delivery/pickup,$,+13479212056,40.75904,-73.92631,"32-02 34th Ave Astoria, NY 11106",32-02 34th Ave,,,Astoria,11106,NY,US
-yyCWn1iihJ3XpFNIq16-w,shiny-tea-new-york,Shiny Tea,https://www.yelp.com/biz/shiny-tea-new-york?adjust_creative=SxGxfJGy9pXRgCNHTRDeBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SxGxfJGy9pXRgCNHTRDeBA,123,Bubble Tea/Tea Rooms,4.5,delivery/pickup,$,+12122226134,40.79823,-73.9695,"2667 Broadway New York, NY 10025",2667 Broadway,,,New York,10025,NY,US
